Club,Competition,Age,Squad_size,Market_value,Market_value_of_players,MV_Top_18_players,Share_of_MV
Manchester City,Premier League,27,23,1050.0,45.75,988.0,93.9
Paris Saint-Germain,Ligue 1,26,35,997.75,28.51,889.0,89.1
Manchester United,Premier League,28,28,937.25,33.47,850.0,90.7
Chelsea FC,Premier League,27,27,882.5,32.69,816.0,92.5
Liverpool FC,Premier League,27,27,879.5,32.57,810.5,92.2
Bayern Munich,Bundesliga,26,26,852.9,32.8,819.9,96.1
Real Madrid,LaLiga,27,27,793.5,29.39,708.0,89.2
Atlético de Madrid,LaLiga,28,22,755.2,34.33,730.0,96.7
Tottenham Hotspur,Premier League,26,24,697.0,29.04,632.0,90.7
FC Barcelona,LaLiga,25,29,677.0,23.34,620.0,91.6
Juventus FC,Serie A,27,25,640.4,25.62,597.0,93.2
Inter Milan,Serie A,29,28,573.3,20.48,548.0,95.6
Borussia Dortmund,Bundesliga,25,34,565.9,16.64,518.0,91.5
Leicester City,Premier League,27,28,550.1,19.65,502.0,91.3
Arsenal FC,Premier League,25,26,548.5,21.1,484.0,88.2
SSC Napoli,Serie A,28,25,517.75,20.71,493.0,95.2
RB Leipzig,Bundesliga,24,28,505.55,18.06,454.5,89.9
AC Milan,Serie A,26,28,466.9,16.68,424.0,90.8
Everton FC,Premier League,28,26,433.75,16.68,401.2,92.5
Sevilla FC,LaLiga,28,26,429.4,16.52,391.0,91.1
Atalanta BC,Serie A,27,26,415.35,15.98,384.5,92.6
AS Roma,Serie A,25,30,410.35,13.68,375.8,91.6
Aston Villa,Premier League,26,24,408.3,17.01,392.8,96.2
Wolverhampton Wanderers,Premier League,26,24,391.1,16.3,376.3,96.2
Real Sociedad,LaLiga,26,26,377.0,14.5,354.5,94.0
West Ham United,Premier League,29,24,353.25,14.72,341.5,96.7
Bayer 04 Leverkusen,Bundesliga,25,27,352.75,13.06,323.0,91.6
AS Monaco,Ligue 1,24,28,350.9,12.53,313.0,89.2
Olympique Lyon,Ligue 1,26,29,348.5,12.02,333.1,95.6
Ajax Amsterdam,Eredivisie,26,25,343.2,13.73,322.7,94.0
SS Lazio,Serie A,28,33,326.6,9.9,301.8,92.4
Borussia Mönchengladbach,Bundesliga,25,28,300.0,10.71,288.9,96.3
Villarreal CF,LaLiga,28,24,298.9,12.45,284.0,95.0
VfL Wolfsburg,Bundesliga,25,32,287.83,8.99,260.4,90.5
SL Benfica,Liga Bwin,27,29,285.5,9.84,239.0,83.7
LOSC Lille,Ligue 1,25,26,272.0,10.46,262.5,96.5
FC Porto,Liga Bwin,27,26,265.0,10.19,242.0,91.3
Olympique Marseille,Ligue 1,23,30,262.75,8.76,252.0,95.9
